vin_family,i_mod_yr,vehicle_make,vehicle_nameplate,vehicle_trim
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2020,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
DT,2019,RAM,1500,1500 BIGHORN/LONESTAR CREW  2WD
